address,price,bedrooms,bathrooms,property_type,area,county,features,date_of_construction
"'Horizons', Banna East, Ardfert, Banna, Co. Kerry, V92HT65",499000,4,6,Detached,banna-kerry,Kerry,"Sea/Mountain/Countryside Views, Equal distance between Banna Beach & Ballyheigue Beach, Exceptional finish throughout, Stunning Garden/Oasis, Electric Gate, Currently incorporates a self contained apartment/granny flat, BER B3, 20 Min walk to Blackrock Beach, Windows Replaced approx 3 years ago, Large, wide spaces and hallway would allow ease of access for persons with mobility issues.",0
"Ivella, Rectory Road, Enniscorthy, Co. Wexford, Y21WN30",925000,4,3,"End of Terrace",enniscorthy-wexford,Wexford,"Exceptionally well-presented heritage property, Refurbished in 2014 to perfecting standards, 4 bedrooms, 3 bathrooms, Extending to c. 262 sq.m. , Separate studio apartment",0
"Grey's Corner, Ferrybank, Co. Wexford, Y35XNP4",895000,5,2,Detached,ferrybank-wexford,Wexford,"Overlooking the River Slaney Estuary & Wexford town.  , Built in 2007 , Extending to c. 265 sq.m. / 2,853 sq.ft. , 5 bedrooms, 2 bathrooms., Private & sheltered patio facing the river estuary view.",2007
"Lindon Lodge, Luddenmore, Ballyneety, Co. Limerick, V35EE76",445000,5,2,Detached,ballyneety-limerick,Limerick,"Built in 1978, Circa 192 sq.m., Stands on Circa 0.50 acre site, 10 minute commute Limerick City, Pantry & Utility, 2 Reception rooms, Attached Garage, O.F.C.H, Landscaped Lawns, Close to all amenities",0
"Ballard, Barna, Co. Galway, H91P22T",1250000,4,4,Detached,barna-galway,Galway,,1978
"11 Birchfield Lawn, Dublin 14, Kilmacud, Co. Dublin, D14R6C5",595000,4,1,Semi-D,kilmacud-dublin,Dublin,"Four bed home in a prime location - 93sqms / 1000 sq. ft., Off street parking, Superb local schools, Gas fired central heating., Enjoy access to local amenities parks, and public transport., All fitted carpets, curtains, light fittings, and kitchen appliances are included., Quiet yet highly convenient location",1983
"41 Monaleen Heights, Castletroy, Limerick City, Co. Limerick, V94TFT6",565000,4,3,Detached,limerick-city,Limerick,"Turnkey Four Bedroom Detached Property, High BER Rating & Solar Panels Installed, 3 x Wood Burning Stoves, Burglar Alarm & Wired For Broadband, Attic Floored For Storage, Nest Thermostat Installed, Filtered Water In Kitchen, Iron Gates On Either Side Of The Property, Steel 3mx3m Shed With Concrete Floor & Non-Drip Interior Lining & Insulated Roof, Astroturf Low Maintenance Rear Garden ",1980
"48 Elderwood Park, Boreenmanna Road, Ballintemple, Co. Cork, T12E621",295000,2,2,Apartment,ballintemple-cork,Cork,"3rd Floor Two Bedroomed Apartment, Great Location, close to Douglas, Cork City and link road networks, Gas central heating, Underground park space and outside visitor spaces, Lift access",2006
"19 Beline Way, Banagher Court, Piltown, Co. Kilkenny, E32FK76",210000,3,3,Semi-D,piltown-kilkenny,Kilkenny,"Prime location , Oil fired central heating , 3 Bedrooms, 3 Bathrooms",0
"80 Ramleh Park, Milltown, Dublin 6, D06C8Y1",1100000,4,2,Semi-D,milltown-dublin,Dublin,"Secluded South East Facing Rear Garden, Walking distance to Milltown Luas, village and Golf Club, Close to UCD Belfield and the Dodder Park Trail River Walks, Gas Fired Central Heating, Double Glazed Windows",1930
